country,code,year,annual_co2_t,co2_per_capita_t,co2_per_unit_energy_kg_kwh,cumulative_co2_t,share_global_annual_co2_pct
Brazil,BRA,1999,327255650.0,1.9066226,0.14416732,7182422500.0,1.3175726
Brazil,BRA,2000,340182820.0,1.9548683,0.14388584,7522605000.0,1.3334497
Brazil,BRA,2001,346165730.0,1.9634905,0.15024221,7868771000.0,1.3473157
Brazil,BRA,2002,347764960.0,1.948225,0.14788847,8216536000.0,1.3240455
Brazil,BRA,2003,344644930.0,1.9080932,0.14442444,8561180700.0,1.2463341
Brazil,BRA,2004,361434020.0,1.9785615,0.14437884,8922615000.0,1.2633126
Brazil,BRA,2005,364370560.0,1.9728968,0.14183015,9286986000.0,1.2310253
Brazil,BRA,2006,368870940.0,1.976238,0.13964014,9655856000.0,1.205691
Brazil,BRA,2007,390573440.0,2.0714328,0.13896723,10046430000.0,1.2399449
Brazil,BRA,2008,412637860.0,2.167588,0.1405273,10459067000.0,1.2874953
Brazil,BRA,2009,389775330.0,2.0292346,0.13323283,10848843000.0,1.236871
Brazil,BRA,2010,440269060.0,2.2729204,0.13807015,11289113000.0,1.3214281
Brazil,BRA,2011,461911330.0,2.3653224,0.13928418,11751024000.0,1.3396505
Brazil,BRA,2012,497468200.0,2.5268083,0.14595638,12248492000.0,1.4231783
Brazil,BRA,2013,531568830.0,2.6782215,0.15183537,12780061000.0,1.5068929
Brazil,BRA,2014,556525500.0,2.7814436,0.1556438,13336586000.0,1.5691938
Brazil,BRA,2015,528173540.0,2.6189272,0.14939407,13864759000.0,1.4918671
Brazil,BRA,2016,491744830.0,2.4197884,0.14247468,14356505000.0,1.3893911
Brazil,BRA,2017,497254560.0,2.429146,0.14298667,14853759000.0,1.3822376
Brazil,BRA,2018,476600540.0,2.3123908,0.13670364,15330359000.0,1.2974368
Brazil,BRA,2019,476723740.0,2.2979572,0.13364765,15807084000.0,1.285435
Brazil,BRA,2020,447999400.0,2.1470218,0.130901,16255082000.0,1.2742376
Brazil,BRA,2021,496562000.0,2.3696554,0.13865803,16751645000.0,1.346906
Brazil,BRA,2022,480058300.0,2.2826612,0.12864272,17231702000.0,1.2792081
Brazil,BRA,2023,483991940.0,2.2922719,0.12558998,17715696000.0,1.2705187
Brazil,BRA,2024,483011550.0,2.2783718,0.12324698,18198706000.0,1.2513714
Chile,CHL,1999,61407972.0,4.0085335,0.20950116,1491306100.0,0.24723625
Chile,CHL,2000,58502620.0,3.7734768,0.19031972,1549808800.0,0.22931877
Chile,CHL,2001,52918388.0,3.3740683,0.16888222,1602727200.0,0.20596428
Chile,CHL,2002,54835612.0,3.4579308,0.1709332,1657562800.0,0.20877562
Chile,CHL,2003,55100212.0,3.4384434,0.1708588,1712663000.0,0.19925804
Chile,CHL,2004,59221090.0,3.6584854,0.1720048,1771884000.0,0.2069942
Chile,CHL,2005,61116456.0,3.7382884,0.17103791,1833000600.0,0.20648183
Chile,CHL,2006,64048280.0,3.879552,0.17325221,1897048800.0,0.20934811
Chile,CHL,2007,70469250.0,4.226911,0.19081917,1967518100.0,0.22371718
Chile,CHL,2008,70549010.0,4.189623,0.19103149,2038067100.0,0.22012405
Chile,CHL,2009,65959764.0,3.8777666,0.1861312,2104026900.0,0.2093096
Chile,CHL,2010,71347480.0,4.1525846,0.19603775,2175374300.0,0.21414307
Chile,CHL,2011,78071440.0,4.4993253,0.20240875,2253445600.0,0.22642536
Chile,CHL,2012,79620890.0,4.5448008,0.19769478,2333066800.0,0.22778285
Chile,CHL,2013,81733270.0,4.6210914,0.19753821,2414800000.0,0.23169772
Chile,CHL,2014,77586210.0,4.3431134,0.18945001,2492386000.0,0.2187641
Chile,CHL,2015,81778460.0,4.5312576,0.19742295,2574164500.0,0.2309896
Chile,CHL,2016,84250500.0,4.6121125,0.19416879,2658415000.0,0.23804395
Chile,CHL,2017,84134620.0,4.533392,0.18682182,2742549800.0,0.23387223
Chile,CHL,2018,84442640.0,4.469476,0.18032598,2826992400.0,0.22987594
Chile,CHL,2019,91977050.0,4.7910333,0.19405311,2918969300.0,0.24800637
Chile,CHL,2020,80178220.0,4.1391664,0.18120287,2999147500.0,0.22804967
Chile,CHL,2021,83630310.0,4.298362,0.17537817,3082777900.0,0.22684412
Chile,CHL,2022,85743784.0,4.385191,0.1702937,3168521700.0,0.22848088
Chile,CHL,2023,77604216.0,3.9475496,0.1559904,3246125800.0,0.20371746
Chile,CHL,2024,78725544.0,3.983124,0.15176545,3324851500.0,0.2039597
